Price List ID,Price List Name,Product Name,Variant ID,SKU,Qty  Band 1,Price 1,Qty Band 2,Price 2,Qty Band 3,Price 3
16,Distributor UK Single,Comfy Guest/Manicure Towel 450gsm,1831,TCO. : TCOGT16,1,1.3,5,1.3,216,1.3
16,Distributor UK Single,Comfy Guest/Manicure Towel 450gsm,1832,TCO. : TCOGT35,1,1.3,5,1.3,216,1.3
16,Distributor UK Single,Pure Linen Treatment Bed Single Sheet,1847,LP : LPUS01,1,15.37,5,15.37,,
16,Distributor UK Single,Pure Linen Treatment Bed Single Sheet,1848,LP : LPUS14,1,15.37,5,15.37,,
16,Distributor UK Single,Pure Linen Treatment Bed Single Sheet,1849,LP : LPUS35,1,15.37,5,15.37,,
16,Distributor UK Single,Pure Linen Treatment Bed Single Sheet,1850,LP : LPUSPS,1,9.21,5,9.21,,
16,Distributor UK Single,Luxury Fleece Closed Toe Slipper,1852,SFLCL : SFLCLM01,1,1.28,50,1.22,,
16,Distributor UK Single,Luxury Fleece Closed Toe Slipper,1853,SFLCL : SFLCLXL01,1,1.28,50,1.22,,
16,Distributor UK Single,Cotton Hotel Slipper and Shoe Bags,1855,SHOEBAG : SHOEBAGC01,,,,,,
16,Distributor UK Single,Cotton Hotel Slipper and Shoe Bags,1856,SHOEBAG : SHOEBAGC03,,,,,,
16,Distributor UK Single,Open Toe Towelling Slippers,1865,STO : STOOP01,1,0.95,100,0.95,,
16,Distributor UK Single,Open Toe Towelling Slippers,1866,STO : STOOPXLBB01,1,0.95,100,0.68,,
16,Distributor UK Single,Open Toe Towelling Slippers,1867,STO : STOOPBB01,1,0.95,100,0.95,,
16,Distributor UK Single,Towelling Waffle Pattern Headband,1877,TSE. : TSEHB03,1,1.99,25,1.99,,
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1879,TSE : TSEBS03,1,12.71,5,12.71,20,12.71
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1880,TSE : TSEBS04,1,12.71,5,12.71,20,12.71
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1881,TSE : TSEBS16,1,12.71,5,12.71,20,12.71
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1882,TSE : TSEBS35,1,12.71,5,12.71,20,12.71
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1883,TSE : TSEBT01,1,5.32,5,5.32,36,5.32
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1884,TSE : TSEBT03,1,6.62,5,6.62,36,6.62
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1885,TSE : TSEBT16,1,6.62,5,6.62,36,6.62
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1886,TSE : TSEBT35,1,6.62,5,6.62,36,6.62
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1887,TSE : TSEHT03,1,3.65,5,3.65,60,3.65
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1888,TSE : TSEHT04,1,3.65,5,3.65,60,3.65
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1889,TSE : TSEHT16,1,3.65,5,3.65,60,3.65
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1890,TSE : TSEHT35,1,3.65,5,3.65,60,3.65
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1891,TSE : TSEBT04,1,6.62,5,6.62,36,6.62
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1892,TSE : TSEBS01,1,10.69,5,10.69,20,10.69
16,Distributor UK Single,Serenity Spa Waffle Towels 450gsm,1893,TSE : TSEHT01,1,3.15,5,3.15,60,3.15
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1895,TSE++ : TSEJS01,1,11.48,5,11.48,16,11.48
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1896,TSE++ : TSEJS03,1,14.26,5,14.26,16,14.26
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1897,TSE++ : TSEJS04,1,14.26,5,14.26,16,14.26
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1898,TSE++ : TSEJS08,1,14.26,5,14.26,16,14.26
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1899,TSE++ : TSEJS16,1,14.26,5,14.26,16,14.26
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1901,TSE++ : TSEJS35,1,14.26,5,14.26,16,14.26
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1902,TSE++ : TSEJSHH01,1,12.5,5,12.5,16,12.5
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1903,TSE++ : TSEJSHH03,1,15.37,5,15.37,8,15.37
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1904,TSE++ : TSEJSHH04,1,15.37,5,15.37,8,15.37
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1905,TSE++ : TSEJSHH08,1,15.37,5,15.37,8,15.37
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1906,TSE++ : TSEJSHH16,1,15.37,5,15.37,16,15.37
16,Distributor UK Single,Serenity Waffle Jumbo Sheets,1908,TSE++ : TSEJSHH35,1,15.37,5,15.37,16,15.37
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1910,TSE+ : TSETRXL01,1,26.39,5,26.39,8,26.39
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1912,TSE+ : TSETRXL03,1,29.02,5,29.02,8,29.02
